Cody,nouns,100
Zain,MxM,99.31
Jmook,Flyquest,98.54
moky_dokie,MxM,97.73
Plup,Redbull,96.68
aMSa,Redbull,95.60
Hungrybox,Liquid,94.96
Mang0,C9,94.44
Wizzrobe,,93.43
Aklo,nouns,92.88
KoDoRiN,Flyquest,92.09
lloD,,91.39
Trif,,89.88
Salt,,89.74
Zuppy,,89.50
S2J,,88.50
Magi,,87.45
Morsecode762,,86.87
Joshman,MxM,86.82
Polish,CriticalHit,85.40
